Parent Cell,parent_x,parent_y,parent_z,Daughter 1,Daughter 2,Birth Time
ABalppppap,266.6621466,231.2042489,15.53625372,ABalppppapp,ABalppppapa,300
ABalppppapa,205.5523288,201.1207851,17.60899691,ABalppppapap,OLLL,410
ABalpppppa,283.7032852,232.200039,15.18229729,ADFL,AWBL,280
ABalpppppp,312.5437453,227.1155629,15.38889913,ABalppppppp,ABalppppppa,255
ABalppppppa,270.9822206,220.9595001,15.66831194,ABalppppppap,ASEL,342
ABalppppppp,294.8133809,212.2663543,15.90570281,AUAL,ASJL,342
ABaraaaaaa,197.4114857,254.0341153,14.76685816,e1VL,m1L,325
ABaraaaaap,216.0538033,260.8454247,14.85744037,e1VR,m1R,330
ABaraaaapa,207.3605038,257.635996,14.83144362,e1D,ABaraaaapaa,325
ABaraaapaa,214.2307467,256.4923609,14.63379051,e2DR,arc post DR,295
ABaraaapap,241.1137784,257.2859121,14.60842357,mc1DR,m4R,280
ABaraaappa,234.8780345,263.7465399,14.65087904,arc post D,arc post VR,305
ABaraaappp,257.1605471,266.4827969,14.62506088,hyp1DR,arc ant DR,300
ABaraapaaa,217.3666296,250.2506239,14.70608594,m1DL,e3D,300
ABaraapaap,241.0799009,249.6207086,14.72507059,m2DL,mc2DL,290
ABaraapapa,258.98341,246.3363128,14.62829785,m5L,ABaraapapaa,280
ABaraapapaa,229.1980733,247.5866798,14.59889022,NSML,ABaraapapaad,415
ABaraapapp,283.1968596,247.9535187,14.63484431,M2L,M3L,325
ABaraappaa,231.9304318,259.1645,14.7731972,MI,m1DR,305
ABaraappap,257.7659061,258.2671462,14.69242816,mc2DR,m2DR,290
ABaraapppa,280.0132789,258.6021796,14.59599124,ABaraapppaa,m5R,280
ABaraapppaa,266.228865,276.3400289,14.74761261,NSMR,ABaraapppaad,415
ABaraapppp,306.4971676,259.303001,14.72136272,M3R,M2R,320
ABarapaaaa,255.8151487,255.3968112,14.67581452,e3VR,m2VR,318
ABarapaaap,275.4821419,255.4284458,14.57096545,m1VR,ABarapaaapp,320
