hyperedge_id,parent_cell,daughter_1,daughter_2,members,birth_time,parent_x,parent_y,parent_z,hyperedge_weight
LIN_0109,Earp,int2D,int5R,Earp|int2D|int5R,230,374.1622434,261.8089286,14.60407859,1.0
LIN_0110,Epla,int6L,int4V,Epla|int6L|int4V,235,410.3360136,250.5968302,14.93266498,1.0
LIN_0111,Eplp,Eplpp,int7L,Eplp|Eplpp|int7L,245,450.0145768,249.4783811,14.99260476,1.0
LIN_0112,Epra,int6R,int4D,Epra|int6R|int4D,235,417.7102514,261.999011,14.82280235,1.0
LIN_0113,Eprp,Eprpp,int7R,Eprp|Eprpp|int7R,245,458.2698897,259.6253187,15.01597956,1.0
LIN_0114,MSaaa,MSaaap,MSaaaa,MSaaa|MSaaap|MSaaaa,145,259.5248967,241.6598735,14.92934754,1.0
LIN_0115,MSaap,MSaapa,MSaapp,MSaap|MSaapa|MSaapp,145,312.1924972,236.8483146,14.62221377,1.0
LIN_0116,MSapa,MSapap,MSapaa,MSapa|MSapap|MSapaa,150,323.4585615,230.1302348,14.91957739,1.0
LIN_0117,MSapp,MSappa,MSappp,MSapp|MSappa|MSappp,150,365.73525,229.8028175,15.06906042,1.0
LIN_0118,MSpaa,MSpaaa,MSpaap,MSpaa|MSpaaa|MSpaap,150,320.3938388,249.5255739,14.51641979,1.0
LIN_0119,MSpap,MSpapp,MSpapa,MSpap|MSpapp|MSpapa,150,371.5199311,239.5351075,14.56264573,1.0
LIN_0120,MSppa,MSppap,MSppaa,MSppa|MSppap|MSppaa,155,396.0524845,255.7733215,14.54880726,1.0
LIN_0121,MSppp,MSpppp,MSpppa,MSppp|MSpppp|MSpppa,155,430.4009325,245.639545,14.71864641,1.0
LIN_0122,ABalaaaa,ABalaaaar,ABalaaaal,ABalaaaa|ABalaaaar|ABalaaaal,175,0.0,0.0,0.0,1.0
LIN_0123,ABalaaap,ABalaaapp,ABalaaapa,ABalaaap|ABalaaapp|ABalaaapa,170,0.0,0.0,0.0,1.0
LIN_0124,ABalaapa,ABalaapaa,ABalaapap,ABalaapa|ABalaapaa|ABalaapap,175,232.0078428,260.4625051,14.78662316,1.0
LIN_0125,ABalaapp,ABalaappa,ABalaappp,ABalaapp|ABalaappa|ABalaappp,170,270.5096782,261.5629597,14.79945077,1.0
LIN_0126,ABalapaa,ABalapaaa,ABalapaap,ABalapaa|ABalapaaa|ABalapaap,170,216.6417442,260.9151408,15.3957174,1.0
LIN_0127,ABalapap,ABalapapp,ABalapapa,ABalapap|ABalapapp|ABalapapa,160,246.7830367,265.7180243,15.55528159,1.0
LIN_0128,ABalappa,ABalappaa,ABalappap,ABalappa|ABalappaa|ABalappap,170,252.769304,263.4639287,15.16896115,1.0
LIN_0129,ABalappp,ABalapppa,ABalapppp,ABalappp|ABalapppa|ABalapppp,160,295.1480545,261.1899236,15.07488185,1.0
LIN_0130,ABalpaaa,ABalpaaaa,ABalpaaap,ABalpaaa|ABalpaaaa|ABalpaaap,175,198.2988862,248.6841005,14.88872766,1.0
LIN_0131,ABalpaap,ABalpaapp,ABalpaapa,ABalpaap|ABalpaapp|ABalpaapa,165,216.6056915,243.8969633,15.32984336,1.0
LIN_0132,ABalpapa,ABalpapaa,ABalpapap,ABalpapa|ABalpapaa|ABalpapap,165,217.252657,237.4380341,15.14316015,1.0
LIN_0133,ABalpapp,ABalpappa,ABalpappp,ABalpapp|ABalpappa|ABalpappp,165,260.8288054,233.1001325,15.12090811,1.0
LIN_0134,ABalppaa,ABalppaap,ABalppaaa,ABalppaa|ABalppaap|ABalppaaa,163,218.3754603,236.9113593,15.66475398,1.0
LIN_0135,ABalppap,ABalppapp,ABalppapa,ABalppap|ABalppapp|ABalppapa,153,250.5623034,234.3937964,15.66736719,1.0
LIN_0136,ABalpppa,ABalpppap,ABalpppaa,ABalpppa|ABalpppap|ABalpppaa,165,264.4252733,240.2717944,15.46651649,1.0
LIN_0137,ABalpppp,ABalppppa,ABalppppp,ABalpppp|ABalppppa|ABalppppp,148,303.8627773,237.6834842,15.22104219,1.0
LIN_0138,ABaraaaa,ABaraaaap,ABaraaaaa,ABaraaaa|ABaraaaap|ABaraaaaa,180,220.0746359,260.6076648,14.71121213,1.0
LIN_0139,ABaraaap,ABaraaapa,ABaraaapp,ABaraaap|ABaraaapa|ABaraaapp,175,254.685285,266.7712898,14.77358912,1.0
LIN_0140,ABaraapa,ABaraapaa,ABaraapap,ABaraapa|ABaraapaa|ABaraapap,175,251.4049227,256.4755875,14.75823704,1.0
LIN_0141,ABaraapp,ABaraappp,ABaraappa,ABaraapp|ABaraappp|ABaraappa,175,295.8332103,254.3032855,14.68310169,1.0
LIN_0142,ABarapaa,ABarapaaa,ABarapaap,ABarapaa|ABarapaaa|ABarapaap,180,275.5930917,269.8340464,14.64328713,1.0
LIN_0143,ABarapap,ABarapapp,ABarapapa,ABarapap|ABarapapp|ABarapapa,175,314.5660799,267.9069376,14.63340904,1.0
LIN_0144,ABarappa,ABarappaa,ABarappap,ABarappa|ABarappaa|ABarappap,175,332.5922734,270.0779785,14.61040354,1.0
LIN_0145,ABarappp,ABarapppa,ABarapppp,ABarappp|ABarapppa|ABarapppp,175,363.0155834,267.7331359,14.51092848,1.0
LIN_0146,ABarpaaa,ABarpaaap,ABarpaaaa,ABarpaaa|ABarpaaap|ABarpaaaa,180,251.4283959,273.9600642,15.16967981,1.0
LIN_0147,ABarpaap,ABarpaapp,ABarpaapa,ABarpaap|ABarpaapp|ABarpaapa,170,289.5477938,275.3004016,15.3313288,1.0
LIN_0148,ABarpapa,ABarpapap,ABarpapaa,ABarpapa|ABarpapap|ABarpapaa,175,291.419432,272.2228112,15.02101255,1.0
LIN_0149,ABarpapp,ABarpappa,ABarpappp,ABarpapp|ABarpappa|ABarpappp,175,335.0705541,271.6721457,15.05003199,1.0
LIN_0150,ABarppaa,ABarppaap,ABarppaaa,ABarppaa|ABarppaap|ABarppaaa,187,322.8081369,271.8259648,15.51651126,1.0
LIN_0151,ABarppap,ABarppapp,ABarppapa,ABarppap|ABarppapp|ABarppapa,180,361.2234758,264.9716453,15.3598269,1.0
LIN_0152,ABarpppa,ABarpppaa,ABarpppap,ABarpppa|ABarpppaa|ABarpppap,187,371.6029381,273.3332337,15.25014813,1.0
LIN_0153,ABarpppp,ABarppppp,ABarppppa,ABarpppp|ABarppppp|ABarppppa,180,415.4451006,269.2422585,15.24295116,1.0
LIN_0154,ABplaaaa,ABplaaaaa,ABplaaaap,ABplaaaa|ABplaaaaa|ABplaaaap,170,222.8310957,256.2313337,15.83384069,1.0
LIN_0155,ABplaaap,ABplaaapa,ABplaaapp,ABplaaap|ABplaaapa|ABplaaapp,170,265.7132321,259.14305,15.76765558,1.0
LIN_0156,ABplaapa,ABplaapaa,ABplaapap,ABplaapa|ABplaapaa|ABplaapap,170,250.2704608,245.1430363,15.91986544,1.0
LIN_0157,ABplaapp,ABplaappa,ABplaappp,ABplaapp|ABplaappa|ABplaappp,170,297.1549169,244.1556152,15.54325771,1.0
LIN_0158,ABplapaa,ABplapaaa,ABplapaap,ABplapaa|ABplapaaa|ABplapaap,175,297.2075552,258.1702705,15.61370348,1.0
LIN_0159,ABplapap,ABplapapa,ABplapapp,ABplapap|ABplapapa|ABplapapp,170,337.2382632,256.0557696,15.43101081,1.0
LIN_0160,ABplappa,ABplappaa,ABplappap,ABplappa|ABplappaa|ABplappap,170,341.7497561,243.3564874,15.49504072,1.0
LIN_0161,ABplappp,ABplapppp,ABplapppa,ABplappp|ABplapppp|ABplapppa,175,389.4516324,240.5237428,15.70356444,1.0
LIN_0162,ABplpaaa,ABplpaaap,ABplpaaaa,ABplpaaa|ABplpaaap|ABplpaaaa,180,268.0258883,229.6032356,15.85382651,1.0
LIN_0163,ABplpaap,ABplpaapa,ABplpaapp,ABplpaap|ABplpaapa|ABplpaapp,175,303.7640946,230.0749155,15.90275493,1.0
LIN_0164,ABplpapa,ABplpapap,ABplpapaa,ABplpapa|ABplpapap|ABplpapaa,170,313.8273015,225.9452955,15.58783495,1.0
LIN_0165,ABplpapp,ABplpappp,ABplpappa,ABplpapp|ABplpappp|ABplpappa,170,358.3766306,226.0183308,15.4317665,1.0
LIN_0166,ABplppaa,ABplppaap,ABplppaaa,ABplppaa|ABplppaap|ABplppaaa,175,334.9985999,231.2939905,15.77764069,1.0
LIN_0167,ABplppap,ABplppapa,ABplppapp,ABplppap|ABplppapa|ABplppapp,175,371.9210455,232.6627615,15.64902578,1.0
LIN_0168,ABplpppa,ABplpppaa,ABplpppap,ABplpppa|ABplpppaa|ABplpppap,170,391.4513957,228.4018054,15.55431285,1.0
LIN_0169,ABplpppp,ABplppppp,ABplppppa,ABplpppp|ABplppppp|ABplppppa,170,423.4080822,230.3263812,15.815062,1.0
LIN_0170,ABpraaaa,ABpraaaap,ABpraaaaa,ABpraaaa|ABpraaaap|ABpraaaaa,170,302.332077,279.5323647,14.87795479,1.0
LIN_0171,ABpraaap,ABpraaapp,ABpraaapa,ABpraaap|ABpraaapp|ABpraaapa,165,336.8476805,282.1340313,15.0163246,1.0
LIN_0172,ABpraapa,ABpraapaa,ABpraapap,ABpraapa|ABpraapaa|ABpraapap,170,361.5723654,283.0773408,14.86623118,1.0
LIN_0173,ABpraapp,ABpraappa,ABpraappp,ABpraapp|ABpraappa|ABpraappp,170,400.0401207,279.5746374,14.90084633,1.0
LIN_0174,ABprapaa,ABprapaap,ABprapaaa,ABprapaa|ABprapaap|ABprapaaa,175,393.5024834,281.7884006,15.36924604,1.0
LIN_0175,ABprapap,ABprapapp,ABprapapa,ABprapap|ABprapapp|ABprapapa,170,437.4975271,281.3587856,15.34579705,1.0
LIN_0176,ABprappa,ABprappap,ABprappaa,ABprappa|ABprappap|ABprappaa,170,458.9955095,276.3837667,14.9897027,1.0
LIN_0177,ABprappp,ABprapppp,ABprapppa,ABprappp|ABprapppp|ABprapppa,175,487.7503852,268.1788107,15.20960044,1.0
LIN_0178,ABprpaaa,ABprpaaap,ABprpaaaa,ABprpaaa|ABprpaaap|ABprpaaaa,180,371.8862711,277.5726577,14.67763996,1.0
LIN_0179,ABprpaap,ABprpaapa,ABprpaapp,ABprpaap|ABprpaapa|ABprpaapp,175,409.0264757,277.7142667,14.71010986,1.0
LIN_0180,ABprpapa,ABprpapaa,ABprpapap,ABprpapa|ABprpapaa|ABprpapap,165,413.1438772,270.6407252,14.65319818,1.0
LIN_0181,ABprpapp,ABprpappa,ABprpappp,ABprpapp|ABprpappa|ABprpappp,165,448.7854097,263.7149043,14.72059524,1.0
LIN_0182,ABprppaa,ABprppaaa,ABprppaap,ABprppaa|ABprppaaa|ABprppaap,175,438.6560775,276.9960084,14.81984252,1.0
LIN_0183,ABprppap,ABprppapp,ABprppapa,ABprppap|ABprppapp|ABprppapa,175,467.4324716,271.3501441,14.83007246,1.0
LIN_0184,ABprpppa,ABprpppaa,ABprpppap,ABprpppa|ABprpppaa|ABprpppap,170,491.7578567,267.8921515,14.86524925,1.0
LIN_0185,ABprpppp,ABprppppa,ABprppppp,ABprpppp|ABprppppa|ABprppppp,170,491.8935833,257.4102641,14.99672358,1.0
LIN_0186,Caaaa,hyp7,hyp7,Caaaa|hyp7|hyp7,220,443.0997174,252.4262837,15.55064714,1.0
LIN_0187,Caaap,hyp7,hyp7,Caaap|hyp7|hyp7,222,485.4384816,248.4232966,15.6102085,1.0
LIN_0188,Caapa,DVC,Caapap,Caapa|DVC|Caapap,330,511.0200265,249.7299448,15.31788427,1.0
LIN_0189,Caapp,hyp7,PVR,Caapp|hyp7|PVR,235,508.5569251,246.2262097,15.16942035,1.0
LIN_0190,Capaa,Capaap,Capaaa,Capaa|Capaap|Capaaa,250,431.6417904,245.2947179,14.76727542,1.0
LIN_0191,Capap,Capapp,Capapa,Capap|Capapp|Capapa,250,458.403597,248.7776302,14.71539502,1.0
LIN_0192,Cappa,Cappaa,Cappap,Cappa|Cappaa|Cappap,240,471.1312439,241.8961321,15.11417957,1.0
LIN_0193,Cappp,Capppa,Capppp,Cappp|Capppa|Capppp,240,485.9527444,246.8220969,14.96876789,1.0
LIN_0194,Cpaaa,hyp7,hyp7,Cpaaa|hyp7|hyp7,222,444.466505,265.804578,15.47470475,1.0
LIN_0195,Cpaap,hyp7,hyp7,Cpaap|hyp7|hyp7,220,490.1382874,262.9152498,15.45060407,1.0
LIN_0196,Cpapa,hyp7,hyp7,Cpapa|hyp7|hyp7,230,515.2941892,259.3526322,15.18136997,1.0
LIN_0197,Cpapp,hyp7,hyp11,Cpapp|hyp7|hyp11,235,517.7547972,252.4220096,15.10576823,1.0
LIN_0198,Cppaa,Cppaaa,Cppaap,Cppaa|Cppaaa|Cppaap,250,448.6339739,259.349839,14.61753631,1.0
LIN_0199,Cppap,Cppapa,Cppapp,Cppap|Cppapa|Cppapp,250,466.5476277,254.609153,14.72715692,1.0
LIN_0200,Cpppa,Cpppaa,Cpppap,Cpppa|Cpppaa|Cpppap,240,485.7550787,258.8352979,14.91365872,1.0
LIN_0201,Cpppp,Cppppp,Cppppa,Cpppp|Cppppp|Cppppa,240,490.9676692,254.6327006,14.94052622,1.0
LIN_0202,Daaa,mu bod,mu bod,Daaa|mu bod|mu bod,275,378.9593474,233.6122845,15.06656149,1.0
LIN_0203,Daap,mu bod,mu bod,Daap|mu bod|mu bod,278,401.1032943,235.7406623,14.67618144,1.0
LIN_0204,Dapa,mu bod,mu bod,Dapa|mu bod|mu bod,270,396.8483234,231.7401537,14.95318496,1.0
LIN_0205,Dapp,Dappp,Dappa,Dapp|Dappp|Dappa,265,426.7361129,236.9236762,14.82985116,1.0
LIN_0206,Dpaa,mu bod,mu bod,Dpaa|mu bod|mu bod,275,385.3945606,270.7817293,14.96458625,1.0
