cell,fate,fate_id,method,purity,n_leaves,n_embryos
ABaraaaaapp,pharynx,3,exact,1.0,1,1
ABaraaaap,pharynx,3,consensus,1.0,1,256
ABaraaaapa,pharynx,3,consensus,1.0,1,230
ABaraaaapaa,pharynx,3,ancestor,1.0,1,1
ABaraaaapap,pharynx,3,exact,1.0,1,1
ABaraaaapp,pharynx,3,ancestor,1.0,1,230
ABaraaaappa,pharynx,3,ancestor,1.0,1,1
ABaraaaappp,pharynx,3,ancestor,1.0,1,1
ABaraaap,pharynx,3,consensus,0.875,8,258
ABaraaapa,pharynx,3,consensus,1.0,4,257
ABaraaapaa,pharynx,3,consensus,1.0,2,234
ABaraaapaaa,pharynx,3,exact,1.0,1,7
ABaraaapaap,pharynx,3,exact,1.0,1,7
ABaraaapap,pharynx,3,consensus,1.0,2,234
ABaraaapapa,pharynx,3,exact,1.0,1,29
ABaraaapapp,pharynx,3,exact,1.0,1,29
ABaraaapp,pharynx,3,consensus,0.75,4,257
ABaraaappa,pharynx,3,consensus,1.0,2,233
ABaraaappaa,pharynx,3,exact,1.0,1,1
ABaraaappap,pharynx,3,exact,1.0,1,1
ABaraaappp,mixed,11,consensus,0.5,2,233
ABaraaapppa,pharynx,3,exact,1.0,1,3
ABaraaapppp,hypodermis,2,exact,1.0,1,3
ABaraaappppa,hypodermis,2,ancestor,1.0,1,1
ABaraaappppp,hypodermis,2,ancestor,1.0,1,1
ABaraaapppppa,hypodermis,2,ancestor,1.0,1,1
ABaraaapppppp,hypodermis,2,ancestor,1.0,1,1
ABaraaappppppa,hypodermis,2,ancestor,1.0,1,1
ABaraaappppppaa,hypodermis,2,ancestor,1.0,1,1
ABaraaappppppap,hypodermis,2,ancestor,1.0,1,1
ABaraaappppppp,hypodermis,2,ancestor,1.0,1,1
ABaraaapppppppa,hypodermis,2,ancestor,1.0,1,1
ABaraaapppppppp,hypodermis,2,ancestor,1.0,1,1
ABaraap,pharynx,3,consensus,1.0,16,258
ABaraapa,pharynx,3,consensus,1.0,8,258
ABaraapaa,pharynx,3,consensus,1.0,4,257
ABaraapaaa,pharynx,3,consensus,1.0,2,231
ABaraapaap,pharynx,3,consensus,1.0,2,231
ABaraapaapa,pharynx,3,exact,1.0,1,7
ABaraapaapaa,pharynx,3,ancestor,1.0,1,1
ABaraapaapap,pharynx,3,ancestor,1.0,1,1
ABaraapaapapa,pharynx,3,ancestor,1.0,1,1
ABaraapaapapp,pharynx,3,ancestor,1.0,1,1
ABaraapaapp,pharynx,3,exact,1.0,1,7
ABaraapap,pharynx,3,consensus,1.0,4,257
ABaraapapa,pharynx,3,consensus,1.0,2,233
ABaraapapaa,pharynx,3,consensus,1.0,1,19
ABaraapapap,pharynx,3,exact,1.0,1,19
ABaraapapapa,pharynx,3,ancestor,1.0,1,1
ABaraapapapaa,pharynx,3,ancestor,1.0,1,1
ABaraapapapaaa,pharynx,3,ancestor,1.0,1,1
ABaraapapapaap,pharynx,3,ancestor,1.0,1,1
ABaraapapapaapa,pharynx,3,ancestor,1.0,1,1
ABaraapapapaapp,pharynx,3,ancestor,1.0,1,1
ABaraapapapaappa,pharynx,3,ancestor,1.0,1,1
ABaraapapapaappaa,pharynx,3,ancestor,1.0,1,1
ABaraapapapaappaaa,pharynx,3,ancestor,1.0,1,1
ABaraapapapaappaap,pharynx,3,ancestor,1.0,1,1
ABaraapapapaappap,pharynx,3,ancestor,1.0,1,1
ABaraapapapaappp,pharynx,3,ancestor,1.0,1,1
ABaraapapapap,pharynx,3,ancestor,1.0,1,1
ABaraapapapp,pharynx,3,ancestor,1.0,1,1
ABaraapapappa,pharynx,3,ancestor,1.0,1,1
ABaraapapappp,pharynx,3,ancestor,1.0,1,1
ABaraapapp,pharynx,3,consensus,1.0,2,233
ABaraapappa,pharynx,3,exact,1.0,1,2
ABaraapappp,pharynx,3,exact,1.0,1,2
ABaraapapppa,pharynx,3,ancestor,1.0,1,1
ABaraapapppp,pharynx,3,ancestor,1.0,1,1
ABaraapp,pharynx,3,consensus,1.0,8,258
ABaraappa,pharynx,3,consensus,1.0,4,257
ABaraappaa,pharynx,3,consensus,1.0,2,233
ABaraappaaa,pharynx,3,exact,1.0,1,2
ABaraappaaaa,pharynx,3,ancestor,1.0,1,1
ABaraappaaap,pharynx,3,ancestor,1.0,1,1
ABaraappaap,pharynx,3,exact,1.0,1,2
ABaraappaapa,pharynx,3,ancestor,1.0,1,1
ABaraappaapp,pharynx,3,ancestor,1.0,1,1
ABaraappaappa,pharynx,3,ancestor,1.0,1,1
ABaraappaappp,pharynx,3,ancestor,1.0,1,1
ABaraappap,pharynx,3,consensus,1.0,2,233
ABaraappapa,pharynx,3,exact,1.0,1,9
ABaraappapp,pharynx,3,exact,1.0,1,9
ABaraappp,pharynx,3,consensus,1.0,4,257
ABaraapppa,pharynx,3,consensus,1.0,2,234
ABaraapppaa,pharynx,3,consensus,1.0,1,28
ABaraapppap,pharynx,3,exact,1.0,1,28
ABaraapppapa,pharynx,3,ancestor,1.0,1,1
ABaraapppapp,pharynx,3,ancestor,1.0,1,1
ABaraapppp,pharynx,3,consensus,1.0,2,234
ABaraappppa,pharynx,3,exact,1.0,1,4
ABaraappppaa,pharynx,3,ancestor,1.0,1,2
ABaraappppaaa,pharynx,3,ancestor,1.0,1,1
ABaraappppaaaa,pharynx,3,ancestor,1.0,1,1
ABaraappppaaaaa,pharynx,3,ancestor,1.0,1,1
ABaraappppaaaaaa,pharynx,3,ancestor,1.0,1,1
ABaraappppaaaaap,pharynx,3,ancestor,1.0,1,1
ABaraappppaaaaapa,pharynx,3,ancestor,1.0,1,1
ABaraappppaaaaapp,pharynx,3,ancestor,1.0,1,1
ABaraappppaaaap,pharynx,3,ancestor,1.0,1,1
ABaraappppaaaapa,pharynx,3,ancestor,1.0,1,1
ABaraappppaaaapp,pharynx,3,ancestor,1.0,1,1
ABaraappppaaap,pharynx,3,ancestor,1.0,1,1
ABaraappppaap,pharynx,3,ancestor,1.0,1,1
ABaraappppaapa,pharynx,3,ancestor,1.0,1,1
ABaraappppaapp,pharynx,3,ancestor,1.0,1,1
ABaraappppaappa,pharynx,3,ancestor,1.0,1,1
ABaraappppaappp,pharynx,3,ancestor,1.0,1,1
ABaraappppap,pharynx,3,ancestor,1.0,1,2
ABaraappppapa,pharynx,3,ancestor,1.0,1,1
ABaraappppapp,pharynx,3,ancestor,1.0,1,1
ABaraappppp,pharynx,3,exact,1.0,1,4
ABaraapppppa,pharynx,3,ancestor,1.0,1,1
ABaraapppppp,pharynx,3,ancestor,1.0,1,1
ABarap,mixed,11,consensus,0.5,26,258
ABarapa,pharynx,3,consensus,1.0,12,258
ABarapaa,pharynx,3,consensus,1.0,6,258
ABarapaaa,pharynx,3,consensus,1.0,3,257
ABarapaaaa,pharynx,3,consensus,1.0,2,232
ABarapaaaaa,pharynx,3,exact,1.0,1,2
ABarapaaaap,pharynx,3,exact,1.0,1,2
ABarapaaaapa,pharynx,3,ancestor,1.0,1,1
ABarapaaaapaa,pharynx,3,ancestor,1.0,1,1
ABarapaaaapap,pharynx,3,ancestor,1.0,1,1
ABarapaaaapapa,pharynx,3,ancestor,1.0,1,1
ABarapaaaapapaa,pharynx,3,ancestor,1.0,1,1
ABarapaaaapapaaa,pharynx,3,ancestor,1.0,1,1
ABarapaaaapapaap,pharynx,3,ancestor,1.0,1,1
ABarapaaaapapap,pharynx,3,ancestor,1.0,1,1
ABarapaaaapapp,pharynx,3,ancestor,1.0,1,1
