x,y,z,min_size,max_size,cell,mother
10.283307894954016,24.98305401290433,1.4204362719678827,24.0,38.0,ABarappapp,ABarappap
28.059780442667304,9.920301730112467,0.8070030705727345,31.0,56.0,ABarappp,ABarapp
-27.054223890331144,23.716623465498852,1.1779788153495574,29.0,48.0,ABarapppa,ABarappp
-40.24229955448583,18.705300484605186,0.5050645274603898,24.0,41.0,ABarapppaa,ABarapppa
-25.147471968278925,24.098978645524724,1.2875357918282058,26.0,42.0,ABarapppap,ABarapppa
-1.561023933555029,24.54669185185863,0.9025546809850261,29.0,52.0,ABarapppp,ABarappp
-22.376893547811736,34.1466241775974,0.7448680128144868,26.0,43.0,ABarappppa,ABarapppp
-3.312377418779482,37.55522632813504,1.1198680128144867,26.0,43.0,ABarappppp,ABarapppp
-8.776818687324466,42.9039400888537,-0.4273485381586997,36.0,79.0,ABarp,ABar
-39.338534113554836,45.53561717273414,-0.1283963873104409,28.0,73.0,ABarpa,ABarp
-54.90532936770421,38.25545314265116,0.12748730044889545,39.0,60.0,ABarpaa,ABarpa
-72.99151458111886,29.382606343870677,-0.2589570593072023,30.0,57.0,ABarpaaa,ABarpaa
-98.67221174431367,3.4522912596039528,-0.7505136383923063,28.0,47.0,ABarpaaaa,ABarpaaa
-103.98069435322547,7.6087199138866835,-1.1913019128715678,26.0,38.0,ABarpaaaaa,ABarpaaaa
-91.46331983585092,3.948488253655025,-1.6341590557287105,26.0,38.0,ABarpaaaap,ABarpaaaa
-72.15777474372047,7.048866506472301,-0.5076562462990722,27.0,45.0,ABarpaaap,ABarpaaa
-73.44903577864844,9.877183963466614,-1.6846338100661253,26.0,37.0,ABarpaaapa,ABarpaaap
-58.87822032800464,12.490917869046013,-1.7966509774481003,24.0,36.0,ABarpaaapp,ABarpaaap
-38.34638157691871,39.755158108663245,-0.519522235049594,32.0,57.0,ABarpaap,ABarpaa
-46.865543488074586,11.909243651910423,-1.3085370051066603,28.0,50.0,ABarpaapa,ABarpaap
