Parent Cell,parent_x,parent_y,parent_z,Daughter 1,Daughter 2,Birth Time
ABalapppa,256.170171175,265.6557748125,15.48369956875,ABalapppaa,ABalapppap,213
ABalpappa,261.748501825,241.182356825,14.620240435,ABalpappap,ABalpappaa,217
ABalpappp,294.00697025,241.9152080625,14.44660856875,ABalpapppa,ABalpapppp,215
ABalppaaa,216.9500050125,236.868261825,15.25964385875,ABalppaaap,ABalppaaaa,237
ABalppaap,236.4428430625,232.027458975,15.19631278625,ABalppaapa,ABalppaapp,230
ABalppapa,254.5924837125,233.8286718125,14.92245102375,ABalppapap,ABalppapaa,220
ABalpppap,262.6855289625,234.471277525,15.3675434625,ABalpppapa,ABalpppapp,225
ABaraaaap,224.5005156125,257.1964879625,14.91723996125,ABaraaaapa,ABaraaaapp,250
ABarapapa,297.7603646875,260.872126725,14.63695653875,ABarapapap,ABarapapaa,215
ABarapapp,327.1134725125,258.7916715375,14.489224635,ABarapappp,ABarapappa,210
ABarappaa,295.6377349875,265.9298162,14.69827808875,ABarappaaa,ABarappaap,228
ABarappap,328.3410838375,266.2012889375,14.54864716625,ABarappapp,ABarappapa,220
ABarapppa,299.7410894625,270.7511562,14.7246597525,ABarapppap,ABarapppaa,220
ABarapppp,330.934013575,271.6127943375,14.639024085,ABarappppp,ABarappppa,218
ABarpaaaa,230.9854344375,259.770362875,15.88516008625,ABarpaaaap,ABarpaaaaa,240
ABarpaaap,258.3792251,261.6409993,15.8850886025,ABarpaaapa,ABarpaaapp,240
ABarpaapa,285.4664336625,263.56803095,15.5161095175,hyp7,hyp6,225
ABarpaapp,331.4146965125,264.7105232625,15.36004579,hyp7,hyp7,215
ABarpapaa,255.4585618,272.6772112125,15.63729572875,ABarpapaaa,ABarpapaap,235
ABarpapap,287.47032165,273.290124125,15.5292309075,hyp4,hyp6,230
ABarpappa,308.465358325,277.0823115125,15.6393469125,hyp5,XXXR,240
ABarpappp,339.357866775,275.9043993,15.40221563375,H1R,H0R,225
ABarppaaa,341.558572375,254.658611,15.61128924875,ADEshL,H2L,235
ABarppaap,376.5314898625,252.22884725,15.412777815,hyp7,ABarppaapp,230
ABarppapa,401.082579125,246.24693375,15.44071915375,V1L,V2L,230
ABarppapp,445.1155318625,244.9025483375,15.5223612775,V6L,V4L,230
ABarpppaa,359.143915375,271.5220575625,15.63986996375,ADEshR,H2R,235
ABarpppap,391.3235897375,270.330366275,15.48730850875,hyp7,ABarpppapp,230
ABarppppa,416.18731615,273.007261675,15.44336804,V1R,V2R,230
ABarppppp,456.311765025,270.54802225,15.5797760225,V6R,V4R,230
ABplaaaaa,231.329903925,247.763085575,15.86905085375,ABplaaaaaa,ABplaaaaap,235
ABplaaaap,259.910291025,250.078412,15.75911666125,hyp6,hyp6,230
ABplaaapa,284.5702009125,248.8360925875,15.7639267875,XXXL,hyp5,240
ABplaaapp,317.6957753375,247.87138655,15.503493855,H1L,H0L,225
ABalaaaala,0,0,0,ABalaaaalar,AINL,325
ABalaaaalp,0,0,0,ABalaaaalpa,ILshL,317
ABalaaaarl,0,0,0,ABalaaaarla,RMEL,310
ABalaaaarr,0,0,0,RMER,ABalaaaarra,310
ABalaaapal,0,0,0,AVDL,ILsoL,285
ABalaaapar,0,0,0,ILshDL,ABalaaaparl,295
ABalaaappl,0,0,0,ABalaaapplr,ILshDR,295
ABalaaappr,0,0,0,ILsoR,AVDR,285
ABalaapaaa,201.613902171429,264.952550614286,14.8197718685714,ABalaapaaal,AINR,325
ABalaapaap,227.373112942857,268.892160614286,14.6311100342857,ABalaapaapa,ILshR,317
ABalaapapp,249.871455942857,274.659698742857,14.7315492785714,ABalaapappa,CEPsoVR,295
