Parent,Daughter 1,Daughter 2,Birth Time
P2ap,AS2,VD3,1520.0
P5aa,P5aaa,VC3,1520.0
P3ap,VD4,AS3,1520.0
P3aa,VC1,P3aaa,1520.0
P4ap,VD5,AS4,1520.0
P6ap,AS6,VD7,1520.0
TLpppa,PHCL,PLNL,1520.0
P4aa,VC2,P4aaa,1520.0
Mvrp,Mvrpa,mu bod,1520.0
P5ap,VD6,AS5,1520.0
Mvla,mu bod,mu bod,1520.0
P11a,P11ap,P11aa,1520.0
Mvra,mu bod,mu bod,1520.0
Mvlp,mu bod,Mvlpa,1520.0
P9aa,P9aaa,P9aap,1550.0
P9ap,AS9,VD10,1550.0
P7ap,VD8,AS7,1550.0
P8aa,VC6,P8aaa,1550.0
P7aa,VC5,P7aaa,1550.0
P8ap,AS8,VD9,1550.0
P10ap,VD11,AS10,1550.0
P10aa,P10aaa,P10aap,1550.0
Mdla,mu bod,mu bod,1580.0
P11aa,P11aaa,P11aap,1580.0
P2aaa,VA2,VB3,1580.0
P12aa,P12aap,P12aaa,1580.0
P12ap,VD13,PDB,1580.0
P12p,P12pp,hyp12,1580.0
Mdra,mu bod,mu bod,1580.0
P1aaa,AVFL,VB1,1580.0
P11ap,VD12,AS11,1580.0
P3aaa,VB4,VA3,1610.0
P4aaa,VA4,VB5,1610.0
P5aaa,VB6,VA5,1610.0
P6aaa,VA6,VB7,1610.0
P9aaa,VB10,VA9,1640.0
P8aaa,VB9,VA8,1640.0
P7aaa,VB8,VA7,1640.0
Mdrp,cc herm DR,mu bod,1640.0
Mdlp,mu bod,cc herm DL,1640.0
P10aaa,VB11,VA10,1640.0
Mvlpa,mu bod,Mvlpaa,1670.0
Mvrpa,mu bod,Mvrpaa,1670.0
P12aaa,VA12,P12aaap,1730.0
P11aaa,P11aaap,VA11,1730.0
H2Rp,H2Rpp,hyp7,1760.0
V1Lp,V1Lpa,V1Lpp,1760.0
V1Rp,V1Rpa,V1Rpp,1760.0
V5Rp,V5Rpa,V5Rpp,1760.0
V4Lp,V4Lpp,V4Lpa,1760.0
V4Rp,V4Rpa,V4Rpp,1760.0
V3Lp,V3Lpp,V3Lpa,1760.0
V2Lp,V2Lpp,V2Lpa,1760.0
V5Lp,V5Lpa,V5Lpp,1760.0
V2Rp,V2Rpp,V2Rpa,1760.0
V3Rp,V3Rpa,V3Rpp,1760.0
H2Lp,H2Lpp,hyp7,1760.0
H1La,se,H1Lap,1772.0
H1Ra,H1Rap,se,1772.0
V6Rp,V6Rpa,V6Rpp,1808.0
V6Lp,V6Lpa,V6Lpp,1808.0
V2Rpa,hyp7,V2Rpap,1820.0
V2Rpp,V2Rppp,hyp7,1820.0
V1Lpp,V1Lppp,hyp7,1820.0
V1Lpa,V1Lpap,hyp7,1820.0
V3Rpa,V3Rpap,hyp7,1820.0
V3Rpp,V3Rppp,hyp7,1820.0
V1Rpp,hyp7,V1Rppp,1820.0
V1Rpa,hyp7,V1Rpap,1820.0
V2Lpa,V2Lpap,hyp7,1820.0
Z4ap,Z4apa,Z4app,1820.0
V2Lpp,hyp7,V2Lppp,1820.0
V4Rpp,hyp7,V4Rppp,1820.0
V5Rpa,V5Rpap,V5Rpaa,1820.0
V3Lpp,hyp7,V3Lppp,1820.0
V3Lpa,V3Lpap,hyp7,1820.0
Z4aa,Z4aap,Z4aaa,1820.0
V4Lpp,hyp7,V4Lppp,1820.0
V4Rpa,hyp7,V4Rpap,1820.0
